"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2013","Stratum_1"," [kg]",1810679.10856278,149593.274798272,0.087101890892554
"1","2014","Stratum_1"," [kg]",1088830.77785694,114139.14984926,0.111480674031942
"1","2015","Stratum_1"," [kg]",1547798.16599824,97089.8607248826,0.0651179988916033
"1","2016","Stratum_1"," [kg]",2253599.2604325,105780.907502184,0.0483395641061804
"1","2017","Stratum_1"," [kg]",1215656.11127387,49169.9640525309,0.0415703805963175
"1","2018","Stratum_1"," [kg]",932791.97581055,39494.6716484478,0.043525399013252
"1","2019","Stratum_1"," [kg]",846649.039366105,42561.9574933325,0.051966809421543
"1","2020","Stratum_1"," [kg]",1231678.05558141,69000.2455005362,0.0581362460156414
"1","2021","Stratum_1"," [kg]",1395746.19611799,71938.9265287535,0.0533050531112995
"1","2022","Stratum_1"," [kg]",1220157.63060308,64263.5583716707,0.0545679062276557
"1","2023","Stratum_1"," [kg]",1760787.05003432,106271.052992685,0.062834951320542
